date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:48	10049/10049	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:24:47%20GMT	https://au7-quiz.xyz/intro.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/intro.html	(from )
18:24:53	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Nov%202022%2021:24:52%20GMT	https://au7-quiz.xyz/robots.txt		(from )
18:24:54	85393/85393	---M--	200	added ('OK')	image/jpeg	etag:%22f5bbd0bb8ae8ba8a5f67a65359c8e5bc%22	https://i.imgur.com/najoOd3.jpeg	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/i.imgur.com/najoOd3.jpg	(from https://au7-quiz.xyz/intro.php)
18:24:54	26576/26576	---MCZ	200	added ('OK')	text/css	etag:W/%22619797af-67d0%22	https://au7-quiz.xyz/public/common.css?v=1007111	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/commona8b2.css	(from https://au7-quiz.xyz/intro.php)
18:24:54	89503/89503	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618a583a-15d9f%22	https://au7-quiz.xyz/public/jquery-3.6.0.min.js	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/jquery-3.6.0.min.js	(from https://au7-quiz.xyz/intro.php)
18:24:54	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2001%20Nov%202022%2021:24:54%20GMT	https://au7-quiz.xyz/	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/index.html	(from https://au7-quiz.xyz/intro.php)
18:24:54	3648/3648	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261976c2c-e40%22	https://au7-quiz.xyz/public/common.js?v=1007	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/commonfd68.js	(from https://au7-quiz.xyz/intro.php)
18:25:38	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2001%20Nov%202022%2021:25:38%20GMT	https://au7-quiz.xyz/userarea.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/userarea.7.delayed	(from https://au7-quiz.xyz/intro.php)
18:25:39	16233/16233	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:25:39%20GMT	https://au7-quiz.xyz/support.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/support.html	(from https://au7-quiz.xyz/intro.php)
18:25:39	3330/3330	---M--	200	added ('OK')	image/png	etag:%22618a583a-d02%22	https://au7-quiz.xyz/img/head.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/head.png	(from https://au7-quiz.xyz/intro.php)
18:25:40	508/508	---M--	200	added ('OK')	image/png	etag:%22618a583a-1fc%22	https://au7-quiz.xyz/img/Answer_pc_Home.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_pc_Home.png	(from https://au7-quiz.xyz/intro.php)
18:25:40	1140/1140	---M--	200	added ('OK')	image/png	etag:%22618a583a-474%22	https://au7-quiz.xyz/img/Answer_pc_User-area.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_pc_User-area.png	(from https://au7-quiz.xyz/intro.php)
18:25:40	1194/1194	---M--	200	added ('OK')	image/png	etag:%22618a583a-4aa%22	https://au7-quiz.xyz/img/Answer_pc_Support.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_pc_Support.png	(from https://au7-quiz.xyz/intro.php)
18:25:40	1208/1208	---M--	200	added ('OK')	image/png	etag:%22618a583a-4b8%22	https://au7-quiz.xyz/img/Answer_pc_F.A.Q.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_pc_F.A.Q.png	(from https://au7-quiz.xyz/intro.php)
18:25:40	893/893	---M--	200	added ('OK')	image/png	etag:%22618e911c-37d%22	https://au7-quiz.xyz/img/Answer_pc_Language.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_pc_Language.png	(from https://au7-quiz.xyz/intro.php)
18:25:41	455/455	---M--	200	added ('OK')	image/png	etag:%22618e911c-1c7%22	https://au7-quiz.xyz/img/Answer_pc_Rules.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_pc_Rules.png	(from https://au7-quiz.xyz/intro.php)
18:25:41	6745/6745	---MCZ	200	added ('OK')	text/css	etag:W/%2261c02304-1a59%22	https://au7-quiz.xyz/public/toastr.min.css?2	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/toastr.minc81e.css	(from https://au7-quiz.xyz/intro.php)
18:25:41	5535/5535	---MCZ	200	added ('OK')	text/css	etag:W/%2261c02569-159f%22	https://au7-quiz.xyz/public/ext-component-toastr.css?2	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/ext-component-toastrc81e.css	(from https://au7-quiz.xyz/intro.php)
18:25:42	6078/6078	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619c7e66-17be%22	https://au7-quiz.xyz/public/toastr.min.js	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/toastr.min.js	(from https://au7-quiz.xyz/intro.php)
18:25:42	376771/376771	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619c7ec4-5bfc3%22	https://au7-quiz.xyz/public/vendors.min.js	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/vendors.min.js	(from https://au7-quiz.xyz/intro.php)
18:25:44	71/71	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:25:43%20GMT	https://au7-quiz.xyz/fetch.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/fetch.html	(from https://au7-quiz.xyz/intro.php)
18:25:44	338/338	---M--	200	added ('OK')	image/png	etag:%22618a583a-152%22	https://au7-quiz.xyz/img/Answer_7.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_7.png	(from https://au7-quiz.xyz/intro.php)
18:25:44	344/344	---M--	200	added ('OK')	image/png	etag:%22618a583a-158%22	https://au7-quiz.xyz/img/Answer_14.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_14.png	(from https://au7-quiz.xyz/intro.php)
18:25:45	1822/1822	---M--	200	added ('OK')	image/png	etag:%22618a583a-71e%22	https://au7-quiz.xyz/img/Answer_5.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_5.png	(from https://au7-quiz.xyz/intro.php)
18:25:45	31214/31214	---M--	200	added ('OK')	image/png	etag:%22618a583a-79ee%22	https://au7-quiz.xyz/img/Answer_13.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_13.png	(from https://au7-quiz.xyz/intro.php)
18:25:46	11452/11452	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:25:46%20GMT	https://au7-quiz.xyz/n_question.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/n_question.html	(from https://au7-quiz.xyz/intro.php)
18:25:46	10699/10699	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:25:46%20GMT	https://au7-quiz.xyz/signin.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/signin.html	(from https://au7-quiz.xyz/intro.php)
18:25:46	9223/9223	---M--	200	added ('OK')	image/jpeg	etag:%22618a583a-2407%22	https://au7-quiz.xyz/img/Answer_bg.jpg	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_bg.jpg	(from https://au7-quiz.xyz/public/common.css?v=1007111)
18:25:47	1501/1501	---M--	200	added ('OK')	image/png	etag:%22618a583a-5dd%22	https://au7-quiz.xyz/img/Answer_15.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_15.png	(from https://au7-quiz.xyz/public/common.css?v=1007111)
18:25:48	9704/9704	---M--	200	added ('OK')	image/png	etag:%22618a583a-25e8%22	https://au7-quiz.xyz/img/Answer_1.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_1.png	(from https://au7-quiz.xyz/public/common.css?v=1007111)
18:25:49	26576/26576	---MCZ	200	added ('OK')	text/css	etag:W/%22619797af-67d0%22	https://au7-quiz.xyz/public/common.css?v=1007	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/commonfd68.css	(from https://au7-quiz.xyz/support.php)
18:25:53	43225/43225	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618a9ad8-a8d9%22	https://au7-quiz.xyz/public/sweetalert-dev.js?v=1007	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/sweetalert-devfd68.js	(from https://au7-quiz.xyz/support.php)
18:25:57	23811/23811	---MCZ	200	added ('OK')	text/css	etag:W/%22618a583a-5d03%22	https://au7-quiz.xyz/public/sweetalert.css	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/sweetalert.css	(from https://au7-quiz.xyz/support.php)
18:26:09	0/-1	---M--	302	error ('')			https://au7-quiz.xyz/userarea.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/userarea.21.delayed	(from https://au7-quiz.xyz/support.php)
18:26:09	645/645	---M--	200	added ('OK')	image/png	etag:%22618a583a-285%22	https://au7-quiz.xyz/img/Answer_18.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_18.png	(from https://au7-quiz.xyz/support.php)
18:26:10	3648/3648	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261976c2c-e40%22	https://au7-quiz.xyz/public/common.js	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/common.js	(from https://au7-quiz.xyz/support.php)
18:26:12	26576/26576	---MCZ	200	added ('OK')	text/css	etag:W/%22619797af-67d0%22	https://au7-quiz.xyz/public/common.css?11	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/common6512.css	(from https://au7-quiz.xyz/n_question.php)
18:26:13	3648/3648	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261976c2c-e40%22	https://au7-quiz.xyz/public/common.js?v=xxx	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/common1446.js	(from https://au7-quiz.xyz/n_question.php)
18:26:13	43225/43225	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618a9ad8-a8d9%22	https://au7-quiz.xyz/public/sweetalert-dev.js?v=xxx	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/public/sweetalert-dev1446.js	(from https://au7-quiz.xyz/n_question.php)
18:26:13	10699/10699	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:26:13%20GMT	https://au7-quiz.xyz/signin.php?score=	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/signinb2a1.html	(from https://au7-quiz.xyz/n_question.php)
18:26:14	2508/2508	---M--	200	added ('OK')	image/png	etag:%22618a583a-9cc%22	https://au7-quiz.xyz/img/Answer_11.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_11.png	(from https://au7-quiz.xyz/n_question.php)
18:26:14	2396/2396	---M--	200	added ('OK')	image/png	etag:%22618a583a-95c%22	https://au7-quiz.xyz/img/Answer_12.png	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/img/Answer_12.png	(from https://au7-quiz.xyz/n_question.php)
18:26:14	0/-1	---M--	302	error ('')			https://au7-quiz.xyz/userarea.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/userarea.2a.delayed	(from https://au7-quiz.xyz/signin.php)
18:26:16	10588/10588	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:26:15%20GMT	https://au7-quiz.xyz/forget.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/forget.html	(from https://au7-quiz.xyz/signin.php)
18:26:16	56130/56130	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Aug%202021%2018:41:38%20GMT	http://ulogin.ru/js/ulogin.js	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/ulogin.ru/js/ulogin.js	(from https://au7-quiz.xyz/signin.php)
18:26:17	66/66	---MCZ	200	added ('OK')	application/json	date:Tue,%2001%20Nov%202022%2021:26:16%20GMT	https://au7-quiz.xyz/api.php?act=signin	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/apic94c.json	(from https://au7-quiz.xyz/signin.php)
18:26:38	0/-1	---M--	302	error ('')			https://au7-quiz.xyz/userarea.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/userarea.2e.delayed	(from https://au7-quiz.xyz/signin.php?score=)
18:26:38	0/-1	---M--	302	error ('')			https://au7-quiz.xyz/userarea.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/userarea.2f.delayed	(from https://au7-quiz.xyz/forget.php)
18:26:39	65/65	---MCZ	200	added ('OK')	application/json	date:Tue,%2001%20Nov%202022%2021:26:39%20GMT	https://au7-quiz.xyz/api.php?act=forget	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/api6974.json	(from https://au7-quiz.xyz/forget.php)
18:26:40	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Nov%202022%2021:26:40%20GMT	https://au7-quiz.xyz/$1/	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/$1/index.html	(from http://ulogin.ru/js/ulogin.js)
18:26:40	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Nov%202022%2021:26:40%20GMT	https://au7-quiz.xyz/AppleWebKit/	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/AppleWebKit/index.html	(from http://ulogin.ru/js/ulogin.js)
18:26:41	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Nov%202022%2021:26:41%20GMT	https://au7-quiz.xyz/+uLogin.ids[b].hovered_sprite+	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/+uLogin.ids[b].31.delayed	(from http://ulogin.ru/js/ulogin.js)
18:26:42	3014/3014	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2021:26:42%20GMT	https://au7-quiz.xyz/version/3.0/html/weight_set.html	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/version/3.0/html/weight_set.html	(from http://ulogin.ru/js/ulogin.js)
18:26:42	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Nov%202022%2021:26:42%20GMT	https://au7-quiz.xyz/auth.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/auth.php	(from http://ulogin.ru/js/ulogin.js)
18:26:43	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Nov%202022%2021:26:43%20GMT	https://au7-quiz.xyz/url.php	C:/Users/FBernardo/Desktop/sITES/Jogo%20de%20Dinheiro/au7-quiz.xyz/url.php	(from http://ulogin.ru/js/ulogin.js)
